Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,genetic_status
JIC09_BnaDFFS001,JIC,2009,BnaDFFS001,AMBER X COMMANCHE DH LINE,DH
JIC09_BnaDFS002,JIC,2009,BnaDFS002,APEX,DH
JIC09_BnaDFFS003,JIC,2009,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,DH}
JIC09_BnaDFFS004,JIC,2009,BnaDFFS004,BIENVENU DH4,unknown
JIC09_BnaDFFS005,JIC,2009,BnaDFFS005,BRYAN x FORTRESS DH LINE,DH
JIC09_BnaDFFS006,JIC,2009,BnaDFFS006,CANBERRA x COURAGE DH LINE,Backcross
JIC09_BnaDFFS007,JIC,2009,BnaDFFS007,CAPRICORN DH1,DH
JIC09_BnaDFFS008,JIC,2009,BnaDFFS008,COLUMBUS X NICKEL DH LINE,DH
JIC09_BnaDFFS009,JIC,2009,BnaDFFS009,DARMOR,DH
JIC09_BnaDFFS010,JIC,2009,BnaDFFS010,HANSEN X GASPARD DH LINE,unknown
JIC09_BnaDFFS011,JIC,2009,BnaDFFS011,INCA X  CONTACT  DH LINE,DH
JIC09_BnaDFFS012,JIC,2009,BnaDFFS012,MADRIGAL x RECITAL DH LINE,DH
JIC09_BnaDFFS013,JIC,2009,BnaDFFS013,MAJOR DH,DH
JIC09_BnaDFFS014,JIC,2009,BnaDFFS014,NINGYOU 7,DH
JIC09_BnaDFFS015,JIC,2009,BnaDFFS015,RAFAL DH1,DH
JIC09_BnaDFFS016,JIC,2009,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,DH
JIC09_BnaDFFS017,JIC,2009,BnaDFFS017,SAMOURAI,DH
JIC09_BnaDFFS018,JIC,2009,BnaDFFS018,TAPIDOR DH,DH
JIC09_BnaDFFS019,JIC,2009,BnaDFFS019,TEQUILLA x ARAGON DH LINE,DH
JIC09_BnaDFS020,JIC,2009,BnaDFS020,BALTIA,DH
JIC09_BnaDFS021,JIC,2009,BnaDFS021,EUROL,DH
JIC09_BnaDFS022,JIC,2009,BnaDFS022,JET NEUF,DH
