,Line_name,Accession_name,cultivar_name.x,accession_source,year_produced,Line.name.new,cultivar.name,originating.organisation,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,JIC_internal_accession_id,cultivar_name.y,days.to.flowering,number.of.first.branch,dry.weight
1,BrDFS_A_003,JIC09_BrDFS_A_003,CC-050,JIC,2009,BnaDFFS001,AMBER X COMMANCHE DH LINE,"KWS UK Ltd, UK",p_028,28,1,1,1,46,3,BrDFS_A_003,s-00001,CC-050,199,10,163.84
2,BrDFS_A_003,JIC09_BrDFS_A_003,CC-050,JIC,2009,BnaDFFS001,AMBER X COMMANCHE DH LINE,"KWS UK Ltd, UK",p_009,9,2,2,2,47,3,BrDFS_A_003,s-00001,CC-050,205,8,237.81
3,BrDFS_A_003,JIC09_BrDFS_A_003,CC-050,JIC,2009,BnaDFFS001,AMBER X COMMANCHE DH LINE,"KWS UK Ltd, UK",p_066,66,1,3,3,48,3,BrDFS_A_003,s-00001,CC-050,204,9,114.45
4,BrDFS_A_005,JIC09_BrDFS_A_005,CC-059,JIC,2009,BnaDFS002,APEX,RICP,p_003,3,2,1,4,49,5,BrDFS_A_005,s-00002,CC-059,202,10,69.02
5,BrDFS_A_005,JIC09_BrDFS_A_005,CC-059,JIC,2009,BnaDFS002,APEX,RICP,p_014,14,1,2,5,50,5,BrDFS_A_005,s-00002,CC-059,202,9,93.25
6,BrDFS_A_005,JIC09_BrDFS_A_005,CC-059,JIC,2009,BnaDFS002,APEX,RICP,p_023,23,2,3,6,51,5,BrDFS_A_005,s-00002,CC-059,201,10,68.38
7,BrDFS_A_007,JIC09_BrDFS_A_007,CC-061,JIC,2009,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,"KWS UK Ltd, UK",p_027,27,2,1,7,52,7,BrDFS_A_007,s-00003,CC-061,201,8,57.68
8,BrDFS_A_007,JIC09_BrDFS_A_007,CC-061,JIC,2009,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,"KWS UK Ltd, UK",p_031,31,1,2,1,53,7,BrDFS_A_007,s-00003,CC-061,201,8,55.07
9,BrDFS_A_007,JIC09_BrDFS_A_007,CC-061,JIC,2009,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,"KWS UK Ltd, UK",p_032,32,2,3,2,54,7,BrDFS_A_007,s-00003,CC-061,201,10,94.55
10,BrDFS_A_014,JIC09_BrDFS_A_014,CC-072,JIC,2009,BnaDFFS004,BIENVENU DH4,"JIC, UK",p_042,42,2,1,3,55,14,BrDFS_A_014,s-00004,CC-072,201,9,83.23
11,BrDFS_A_014,JIC09_BrDFS_A_014,CC-072,JIC,2009,BnaDFFS004,BIENVENU DH4,"JIC, UK",p_043,43,1,2,4,56,14,BrDFS_A_014,s-00004,CC-072,197,7,71.04
12,BrDFS_A_014,JIC09_BrDFS_A_014,CC-072,JIC,2009,BnaDFFS004,BIENVENU DH4,"JIC, UK",p_056,56,1,3,5,27,14,BrDFS_A_014,s-00004,CC-072,197,10,90.25
