BIP_Accession_Name,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,days.to.flowering,number.of.first.branch,dry.weight
JIC09_BnaDFFS001,28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,s-00001,199,10,163.84
JIC09_BnaDFFS001,9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,s-00001,205,8,237.81
JIC09_BnaDFFS001,66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,s-00001,204,9,114.45
JIC09_BnaDFS002,3,2,1,4,49,5,BnaDFS002,BnaDFS002,s-00002,202,10,69.02
JIC09_BnaDFS002,14,1,2,5,50,5,BnaDFS002,BnaDFS002,s-00002,202,9,93.25
JIC09_BnaDFS002,23,2,3,6,51,5,BnaDFS002,BnaDFS002,s-00002,201,10,68.38
JIC09_BnaDFFS003,27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,8,57.68
JIC09_BnaDFFS003,31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,8,55.07
JIC09_BnaDFFS003,32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,10,94.55
JIC09_BnaDFFS004,42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,s-00004,201,9,83.23
JIC09_BnaDFFS004,43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,s-00004,197,7,71.04
JIC09_BnaDFFS004,56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,s-00004,197,10,90.25
JIC09_BnaDFFS005,65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,s-00005,197,9,60.15
JIC09_BnaDFFS005,5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,s-00005,196,6,53.9
JIC09_BnaDFFS005,10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,s-00005,193,10,87.38
JIC09_BnaDFFS006,19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,s-00006,194,9,67.74
JIC09_BnaDFFS006,22,1,2,3,32,21,BnaDFFS006,BnaDFFS006,s-00006,205,8,90.36
JIC09_BnaDFFS006,30,1,3,4,33,21,BnaDFFS006,BnaDFFS006,s-00006,205,9,61.53
JIC09_BnaDFFS007,33,2,1,5,34,23,BnaDFFS007,BnaDFFS007,s-00007,195,10,87.73
JIC09_BnaDFFS007,41,2,2,6,35,23,BnaDFFS007,BnaDFFS007,s-00007,199,10,90.25
JIC09_BnaDFFS007,44,1,3,7,36,23,BnaDFFS007,BnaDFFS007,s-00007,205,10,66.23
JIC09_BnaDFFS008,52,2,1,1,37,28,BnaDFFS008,BnaDFFS008,s-00008,204,8,128.59
JIC09_BnaDFFS008,61,2,2,2,64,28,BnaDFFS008,BnaDFFS008,s-00008,202,10,71.61
JIC09_BnaDFFS008,64,1,3,3,1,28,BnaDFFS008,BnaDFFS008,s-00008,202,9,81.1
JIC09_BnaDFFS009,15,1,1,4,2,30,BnaDFFS009,BnaDFFS009,s-00009,201,10,52.41
JIC09_BnaDFFS009,26,2,2,5,3,30,BnaDFFS009,BnaDFFS009,s-00009,201,8,53.26
JIC09_BnaDFFS009,57,1,3,6,4,30,BnaDFFS009,BnaDFFS009,s-00009,201,9,54.01
JIC09_BnaDFFS010,1,1,1,7,5,35,BnaDFFS010,BnaDFFS010,s-00010,201,10,62.83
JIC09_BnaDFFS010,6,1,2,1,6,35,BnaDFFS010,BnaDFFS010,s-00010,201,9,72.98
JIC09_BnaDFFS010,11,1,3,2,7,35,BnaDFFS010,BnaDFFS010,s-00010,197,10,53.79
JIC09_BnaDFFS011,16,2,1,3,8,37,BnaDFFS011,BnaDFFS011,s-00011,197,8,74.39
JIC09_BnaDFFS011,20,2,2,4,9,37,BnaDFFS011,BnaDFFS011,s-00011,197,8,50.76
JIC09_BnaDFFS011,29,1,3,5,65,37,BnaDFFS011,BnaDFFS011,s-00011,196,10,55.51
JIC09_BnaDFFS012,53,1,1,6,10,38,BnaDFFS012,BnaDFFS012,s-00012,199,9,63.5
JIC09_BnaDFFS012,58,1,2,7,11,38,BnaDFFS012,BnaDFFS012,s-00012,205,7,45.81
JIC09_BnaDFFS012,62,1,3,1,12,38,BnaDFFS012,BnaDFFS012,s-00012,204,10,63.23
JIC09_BnaDFFS013,4,2,1,2,13,40,BnaDFFS013,BnaDFFS013,s-00013,202,9,42.28
JIC09_BnaDFFS013,12,2,2,3,14,40,BnaDFFS013,BnaDFFS013,s-00013,202,6,67.25
JIC09_BnaDFFS013,35,1,3,4,15,40,BnaDFFS013,BnaDFFS013,s-00013,201,10,70.9
JIC09_BnaDFFS014,46,2,1,5,66,45,BnaDFFS014,BnaDFFS014,s-00014,201,9,68.42
JIC09_BnaDFFS014,54,2,2,6,16,45,BnaDFFS014,BnaDFFS014,s-00014,201,8,56.83
JIC09_BnaDFFS014,17,1,3,7,17,45,BnaDFFS014,BnaDFFS014,s-00014,201,9,68.37
JIC09_BnaDFFS015,36,1,1,1,18,47,BnaDFFS015,BnaDFFS015,s-00015,201,10,97.58
JIC09_BnaDFFS015,47,1,2,2,19,47,BnaDFFS015,BnaDFFS015,s-00015,197,10,72.34
JIC09_BnaDFFS015,59,2,3,3,38,47,BnaDFFS015,BnaDFFS015,s-00015,197,10,102.38
JIC09_BnaDFFS016,2,1,1,4,39,49,BnaDFFS016,BnaDFFS016,s-00016,197,8,65.2
JIC09_BnaDFFS016,7,1,2,5,20,49,BnaDFFS016,BnaDFFS016,s-00016,196,10,48.64
JIC09_BnaDFFS016,18,1,3,6,21,49,BnaDFFS016,BnaDFFS016,s-00016,193,9,77.41
JIC09_BnaDFFS017,25,2,1,7,22,55,BnaDFFS017 Ref2,BnaDFFS017,s-00017,194,10,87.53
JIC09_BnaDFFS017,60,2,2,1,23,55,BnaDFFS017 Ref2,BnaDFFS017,s-00017,205,8,64.79
JIC09_BnaDFFS017,8,1,3,2,24,55,BnaDFFS017 Ref2,BnaDFFS017,s-00017,205,9,41.91
JIC09_BnaDFFS018,38,1,1,3,25,57,BnaDFFS018,BnaDFFS018,s-00018,195,10,49.22
JIC09_BnaDFFS018,49,2,2,4,40,57,BnaDFFS018,BnaDFFS018,s-00018,199,9,42.83
JIC09_BnaDFFS018,34,1,3,5,41,57,BnaDFFS018,BnaDFFS018,s-00018,205,10,41.69
JIC09_BnaDFFS019,45,1,1,6,26,58,BnaDFFS019,BnaDFFS019,s-00019,204,8,48.69
JIC09_BnaDFFS019,37,1,2,7,42,58,BnaDFFS019,BnaDFFS019,s-00019,202,8,46.69
JIC09_BnaDFFS019,48,1,3,1,43,58,BnaDFFS019,BnaDFFS019,s-00019,202,10,54.83
JIC09_BnaDFS020,24,2,1,2,44,59,BnaDFS020,BnaDFS020,s-00020,201,9,39.26
JIC09_BnaDFS020,39,2,2,3,57,59,BnaDFS020,BnaDFS020,s-00020,201,7,54.65
JIC09_BnaDFS020,50,1,3,4,45,59,BnaDFS020,BnaDFS020,s-00020,201,10,75.15
JIC09_BnaDFS021,21,1,1,5,58,66,BnaDFS021,BnaDFS021,s-00053,201,9,54.28
JIC09_BnaDFS021,63,1,2,6,59,66,BnaDFS021,BnaDFS021,s-00053,201,6,50.52
JIC09_BnaDFS021,40,1,3,7,60,66,BnaDFS021,BnaDFS021,s-00053,197,10,51.35
JIC09_BnaDFS022,51,2,1,1,61,67,BnaDFS022,BnaDFS022,s-00213,197,9,62.69
JIC09_BnaDFS022,13,2,2,2,62,67,BnaDFS022,BnaDFS022,s-00213,197,8,39.33
JIC09_BnaDFS022,55,1,3,3,63,67,BnaDFS022,BnaDFS022,s-00213,196,9,44.92
