Accession_name,Line_name,species,s-identifier,cultivar_name,accession_type,accession_source,year_produced,,,,,,
JIC09_BolDFS_001,BolDFS_001,Brassica oleracea,,Woomera DH line 38a,,JIC,2009,,,,,,
JIC09_BolDFS_002,BolDFS_002,Brassica oleracea,,Surfrider DH line 186a,,JIC,2009,,,,,,
JIC09_BolDFS_003,BolDFS_003,Brassica oleracea,,Siria DH line 5a,,JIC,2009,,,,,,
JIC09_BolDFS_004,BolDFS_004,Brassica oleracea,,Shogun DH line 5a,,JIC,2009,,,,,,
JIC09_,,,,,,,,,,,,,
JIC09_,,,,,,,,,,,,,
JIC09_,,,,,,,,,,,,,
JIC09_,,,,,,,,,,,,,
JIC09_,,,,,,,,,,,,,
JIC09_BrDFS_A_003,BrDFS_A_003,Brassica rapa,,CC-050,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_005,BrDFS_A_005,Brassica rapa,,CC-059,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_007,BrDFS_A_007,Brassica rapa,,CC-061,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_014,BrDFS_A_014,Brassica rapa,,CC-072,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_017,BrDFS_A_017,Brassica rapa,,CC-094,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_021,BrDFS_A_021,Brassica rapa,,CC-114,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_023,BrDFS_A_023,Brassica rapa,,CC-140,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_028,BrDFS_A_028,Brassica rapa,,CC-156,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_030,BrDFS_A_030,Brassica rapa,,CC-160,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_035,BrDFS_A_035,Brassica rapa,,CC-168,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_037,BrDFS_A_037,Brassica rapa,,CC-HN54,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_038,BrDFS_A_038,Brassica rapa,,CC-HN53,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_040,BrDFS_A_040,Brassica rapa,,KENSHIN-402,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_045,BrDFS_A_045,Brassica rapa,,PC-023,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_047,BrDFS_A_047,Brassica rapa,,PC-078,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_049,BrDFS_A_049,Brassica rapa,,PC-101,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_055,BrDFS_A_055,Brassica rapa,,PC-175,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_057,BrDFS_A_057,Brassica rapa,,PC-183,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_058,BrDFS_A_058,Brassica rapa,,PC-184,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_059,BrDFS_A_059,Brassica rapa,,PC-185,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_066,BrDFS_A_066,Brassica rapa,,CX-058,,Wageningen,2015,,,,,,
JIC09_BrDFS_A_067,BrDFS_A_067,Brassica rapa,,WTC-GLU3,,Wageningen,2015,,,,,,
