Accession_name,Line_name,cultivar_name,accession_source,year_produced
JIC09_BrDFS_A_003,BrDFS_A_003,CC-050,JIC,2009
JIC09_BrDFS_A_005,BrDFS_A_005,CC-059,JIC,2009
JIC09_BrDFS_A_007,BrDFS_A_007,CC-061,JIC,2009
JIC09_BrDFS_A_014,BrDFS_A_014,CC-072,JIC,2009
JIC09_BrDFS_A_017,BrDFS_A_017,CC-094,JIC,2009
JIC09_BrDFS_A_021,BrDFS_A_021,CC-114,JIC,2009
JIC09_BrDFS_A_023,BrDFS_A_023,CC-140,JIC,2009
JIC09_BrDFS_A_028,BrDFS_A_028,CC-156,JIC,2009
JIC09_BrDFS_A_030,BrDFS_A_030,CC-160,JIC,2009
JIC09_BrDFS_A_035,BrDFS_A_035,CC-168,JIC,2009
JIC09_BrDFS_A_037,BrDFS_A_037,CC-HN54,JIC,2009
JIC09_BrDFS_A_038,BrDFS_A_038,CC-HN53,JIC,2009
JIC09_BrDFS_A_040,BrDFS_A_040,KENSHIN-402,JIC,2009
JIC09_BrDFS_A_045,BrDFS_A_045,PC-023,JIC,2009
JIC09_BrDFS_A_047,BrDFS_A_047,PC-078,JIC,2009
JIC09_BrDFS_A_049,BrDFS_A_049,PC-101,JIC,2009
JIC09_BrDFS_A_055,BrDFS_A_055,PC-175,JIC,2009
JIC09_BrDFS_A_057,BrDFS_A_057,PC-183,JIC,2009
JIC09_BrDFS_A_058,BrDFS_A_058,PC-184,JIC,2009
JIC09_BrDFS_A_059,BrDFS_A_059,PC-185,JIC,2009
JIC09_BrDFS_A_066,BrDFS_A_066,CX-058,JIC,2009
JIC09_BrDFS_A_067,BrDFS_A_067,WTC-GLU3,JIC,2009
