sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,cultivar_name,days to flowering,number of first branch,dry weight 
p_028,28,1,1,1,46,3,BrDFS_A_003,BrDFS_A_003,s-00001,CC-050,199,10,163.84
p_009,9,2,2,2,47,3,BrDFS_A_003,BrDFS_A_003,s-00001,CC-050,205,8,237.81
p_066,66,1,3,3,48,3,BrDFS_A_003,BrDFS_A_003,s-00001,CC-050,204,9,114.45
p_003,3,2,1,4,49,5,BrDFS_A_005,BrDFS_A_005,s-00002,CC-059,202,10,69.02
p_014,14,1,2,5,50,5,BrDFS_A_005,BrDFS_A_005,s-00002,CC-059,202,9,93.25
p_023,23,2,3,6,51,5,BrDFS_A_005,BrDFS_A_005,s-00002,CC-059,201,10,68.38
p_027,27,2,1,7,52,7,BrDFS_A_007,BrDFS_A_007,s-00003,CC-061,201,8,57.68
p_031,31,1,2,1,53,7,BrDFS_A_007,BrDFS_A_007,s-00003,CC-061,201,8,55.07
p_032,32,2,3,2,54,7,BrDFS_A_007,BrDFS_A_007,s-00003,CC-061,201,10,94.55
p_042,42,2,1,3,55,14,BrDFS_A_014,BrDFS_A_014,s-00004,CC-072,201,9,83.23
p_043,43,1,2,4,56,14,BrDFS_A_014,BrDFS_A_014,s-00004,CC-072,197,7,71.04
p_056,56,1,3,5,27,14,BrDFS_A_014,BrDFS_A_014,s-00004,CC-072,197,10,90.25
p_065,65,2,1,6,28,17,BrDFS_A_017,BrDFS_A_017,s-00005,CC-094,197,9,60.15
p_005,5,2,2,7,29,17,BrDFS_A_017,BrDFS_A_017,s-00005,CC-094,196,6,53.9
p_010,10,1,3,1,30,17,BrDFS_A_017,BrDFS_A_017,s-00005,CC-094,193,10,87.38
p_019,19,1,1,2,31,21,BrDFS_A_021,BrDFS_A_021,s-00006,CC-114,194,9,67.74
p_022,22,1,2,3,32,21,BrDFS_A_021,BrDFS_A_021,s-00006,CC-114,205,8,90.36
p_030,30,1,3,4,33,21,BrDFS_A_021,BrDFS_A_021,s-00006,CC-114,205,9,61.53
p_033,33,2,1,5,34,23,BrDFS_A_023,BrDFS_A_023,s-00007,CC-140,195,10,87.73
p_041,41,2,2,6,35,23,BrDFS_A_023,BrDFS_A_023,s-00007,CC-140,199,10,90.25
p_044,44,1,3,7,36,23,BrDFS_A_023,BrDFS_A_023,s-00007,CC-140,205,10,66.23
p_052,52,2,1,1,37,28,BrDFS_A_028,BrDFS_A_028,s-00008,CC-156,204,8,128.59
p_061,61,2,2,2,64,28,BrDFS_A_028,BrDFS_A_028,s-00008,CC-156,202,10,71.61
p_064,64,1,3,3,1,28,BrDFS_A_028,BrDFS_A_028,s-00008,CC-156,202,9,81.1
p_015,15,1,1,4,2,30,BrDFS_A_030,BrDFS_A_030,s-00009,CC-160,201,10,52.41
p_026,26,2,2,5,3,30,BrDFS_A_030,BrDFS_A_030,s-00009,CC-160,201,8,53.26
p_057,57,1,3,6,4,30,BrDFS_A_030,BrDFS_A_030,s-00009,CC-160,201,9,54.01
p_001,1,1,1,7,5,35,BrDFS_A_035,BrDFS_A_035,s-00010,CC-168,201,10,62.83
p_006,6,1,2,1,6,35,BrDFS_A_035,BrDFS_A_035,s-00010,CC-168,201,9,72.98
p_011,11,1,3,2,7,35,BrDFS_A_035,BrDFS_A_035,s-00010,CC-168,197,10,53.79
p_016,16,2,1,3,8,37,BrDFS_A_037,BrDFS_A_037,s-00011,CC-HN54,197,8,74.39
p_020,20,2,2,4,9,37,BrDFS_A_037,BrDFS_A_037,s-00011,CC-HN54,197,8,50.76
p_029,29,1,3,5,65,37,BrDFS_A_037,BrDFS_A_037,s-00011,CC-HN54,196,10,55.51
p_053,53,1,1,6,10,38,BrDFS_A_038,BrDFS_A_038,s-00012,CC-HN53,199,9,63.5
p_058,58,1,2,7,11,38,BrDFS_A_038,BrDFS_A_038,s-00012,CC-HN53,205,7,45.81
p_062,62,1,3,1,12,38,BrDFS_A_038,BrDFS_A_038,s-00012,CC-HN53,204,10,63.23
p_004,4,2,1,2,13,40,BrDFS_A_040,BrDFS_A_040,s-00013,KENSHIN-402,202,9,42.28
