,cultivar_name,Accession_name,Line_name,accession_source,year_produced,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,days.to.flowering,number.of.first.branch
1,CC-050,JIC09_BrDFS_A_003,BrDFS_A_003,JIC,2009,p_028,28,1,1,1,46,3,BrDFS_A_003,BrDFS_A_003,s-00001,199,10
2,CC-050,JIC09_BrDFS_A_003,BrDFS_A_003,JIC,2009,p_009,9,2,2,2,47,3,BrDFS_A_003,BrDFS_A_003,s-00001,205,8
3,CC-050,JIC09_BrDFS_A_003,BrDFS_A_003,JIC,2009,p_066,66,1,3,3,48,3,BrDFS_A_003,BrDFS_A_003,s-00001,204,9
4,CC-059,JIC09_BrDFS_A_005,BrDFS_A_005,JIC,2009,p_003,3,2,1,4,49,5,BrDFS_A_005,BrDFS_A_005,s-00002,202,10
5,CC-059,JIC09_BrDFS_A_005,BrDFS_A_005,JIC,2009,p_014,14,1,2,5,50,5,BrDFS_A_005,BrDFS_A_005,s-00002,202,9
6,CC-059,JIC09_BrDFS_A_005,BrDFS_A_005,JIC,2009,p_023,23,2,3,6,51,5,BrDFS_A_005,BrDFS_A_005,s-00002,201,10
7,CC-061,JIC09_BrDFS_A_007,BrDFS_A_007,JIC,2009,p_027,27,2,1,7,52,7,BrDFS_A_007,BrDFS_A_007,s-00003,201,8
8,CC-061,JIC09_BrDFS_A_007,BrDFS_A_007,JIC,2009,p_031,31,1,2,1,53,7,BrDFS_A_007,BrDFS_A_007,s-00003,201,8
9,CC-061,JIC09_BrDFS_A_007,BrDFS_A_007,JIC,2009,p_032,32,2,3,2,54,7,BrDFS_A_007,BrDFS_A_007,s-00003,201,10
10,CC-072,JIC09_BrDFS_A_014,BrDFS_A_014,JIC,2009,p_042,42,2,1,3,55,14,BrDFS_A_014,BrDFS_A_014,s-00004,201,9
11,CC-072,JIC09_BrDFS_A_014,BrDFS_A_014,JIC,2009,p_043,43,1,2,4,56,14,BrDFS_A_014,BrDFS_A_014,s-00004,197,7
12,CC-072,JIC09_BrDFS_A_014,BrDFS_A_014,JIC,2009,p_056,56,1,3,5,27,14,BrDFS_A_014,BrDFS_A_014,s-00004,197,10
13,CC-094,JIC09_BrDFS_A_017,BrDFS_A_017,JIC,2009,p_065,65,2,1,6,28,17,BrDFS_A_017,BrDFS_A_017,s-00005,197,9
14,CC-094,JIC09_BrDFS_A_017,BrDFS_A_017,JIC,2009,p_005,5,2,2,7,29,17,BrDFS_A_017,BrDFS_A_017,s-00005,196,6
15,CC-094,JIC09_BrDFS_A_017,BrDFS_A_017,JIC,2009,p_010,10,1,3,1,30,17,BrDFS_A_017,BrDFS_A_017,s-00005,193,10
16,CC-114,JIC09_BrDFS_A_021,BrDFS_A_021,JIC,2009,p_019,19,1,1,2,31,21,BrDFS_A_021,BrDFS_A_021,s-00006,194,9
17,CC-114,JIC09_BrDFS_A_021,BrDFS_A_021,JIC,2009,p_022,22,1,2,3,32,21,BrDFS_A_021,BrDFS_A_021,s-00006,205,8
18,CC-114,JIC09_BrDFS_A_021,BrDFS_A_021,JIC,2009,p_030,30,1,3,4,33,21,BrDFS_A_021,BrDFS_A_021,s-00006,205,9
19,CC-140,JIC09_BrDFS_A_023,BrDFS_A_023,JIC,2009,p_033,33,2,1,5,34,23,BrDFS_A_023,BrDFS_A_023,s-00007,195,10
20,CC-140,JIC09_BrDFS_A_023,BrDFS_A_023,JIC,2009,p_041,41,2,2,6,35,23,BrDFS_A_023,BrDFS_A_023,s-00007,199,10
21,CC-140,JIC09_BrDFS_A_023,BrDFS_A_023,JIC,2009,p_044,44,1,3,7,36,23,BrDFS_A_023,BrDFS_A_023,s-00007,205,10
22,CC-156,JIC09_BrDFS_A_028,BrDFS_A_028,JIC,2009,p_052,52,2,1,1,37,28,BrDFS_A_028,BrDFS_A_028,s-00008,204,8
23,CC-156,JIC09_BrDFS_A_028,BrDFS_A_028,JIC,2009,p_061,61,2,2,2,64,28,BrDFS_A_028,BrDFS_A_028,s-00008,202,10
24,CC-156,JIC09_BrDFS_A_028,BrDFS_A_028,JIC,2009,p_064,64,1,3,3,1,28,BrDFS_A_028,BrDFS_A_028,s-00008,202,9
25,CC-160,JIC09_BrDFS_A_030,BrDFS_A_030,JIC,2009,p_015,15,1,1,4,2,30,BrDFS_A_030,BrDFS_A_030,s-00009,201,10
26,CC-160,JIC09_BrDFS_A_030,BrDFS_A_030,JIC,2009,p_026,26,2,2,5,3,30,BrDFS_A_030,BrDFS_A_030,s-00009,201,8
27,CC-160,JIC09_BrDFS_A_030,BrDFS_A_030,JIC,2009,p_057,57,1,3,6,4,30,BrDFS_A_030,BrDFS_A_030,s-00009,201,9
28,CC-168,JIC09_BrDFS_A_035,BrDFS_A_035,JIC,2009,p_001,1,1,1,7,5,35,BrDFS_A_035,BrDFS_A_035,s-00010,201,10
29,CC-168,JIC09_BrDFS_A_035,BrDFS_A_035,JIC,2009,p_006,6,1,2,1,6,35,BrDFS_A_035,BrDFS_A_035,s-00010,201,9
30,CC-168,JIC09_BrDFS_A_035,BrDFS_A_035,JIC,2009,p_011,11,1,3,2,7,35,BrDFS_A_035,BrDFS_A_035,s-00010,197,10
31,CC-HN53,JIC09_BrDFS_A_038,BrDFS_A_038,JIC,2009,p_053,53,1,1,6,10,38,BrDFS_A_038,BrDFS_A_038,s-00012,199,9
32,CC-HN53,JIC09_BrDFS_A_038,BrDFS_A_038,JIC,2009,p_058,58,1,2,7,11,38,BrDFS_A_038,BrDFS_A_038,s-00012,205,7
33,CC-HN53,JIC09_BrDFS_A_038,BrDFS_A_038,JIC,2009,p_062,62,1,3,1,12,38,BrDFS_A_038,BrDFS_A_038,s-00012,204,10
34,CC-HN54,JIC09_BrDFS_A_037,BrDFS_A_037,JIC,2009,p_016,16,2,1,3,8,37,BrDFS_A_037,BrDFS_A_037,s-00011,197,8
35,CC-HN54,JIC09_BrDFS_A_037,BrDFS_A_037,JIC,2009,p_020,20,2,2,4,9,37,BrDFS_A_037,BrDFS_A_037,s-00011,197,8
36,CC-HN54,JIC09_BrDFS_A_037,BrDFS_A_037,JIC,2009,p_029,29,1,3,5,65,37,BrDFS_A_037,BrDFS_A_037,s-00011,196,10
