Plant scoring unit name,polytunnel,rep,sub-block,pot,Plant accession,Originating organisation,Plant variety,days to flowering trait,plant height,dry weight 
p_028,1,1,1,46,JIC09_BrDFS_A_003,JIC,CC-050,199,10,163.84
p_009,2,2,2,47,JIC09_BrDFS_A_003,JIC,CC-050,205,8,237.81
p_066,1,3,3,48,JIC09_BrDFS_A_003,JIC,CC-050,204,9,114.45
p_003,2,1,4,49,JIC09_BrDFS_A_005,JIC,CC-059,202,10,69.02
p_014,1,2,5,50,JIC09_BrDFS_A_005,JIC,CC-059,202,9,93.25
p_023,2,3,6,51,JIC09_BrDFS_A_005,JIC,CC-059,201,10,68.38
p_027,2,1,7,52,JIC09_BrDFS_A_007,JIC,CC-061,201,8,57.68
p_031,1,2,1,53,JIC09_BrDFS_A_007,JIC,CC-061,201,8,55.07
p_032,2,3,2,54,JIC09_BrDFS_A_007,JIC,CC-061,201,10,94.55
p_042,2,1,3,55,JIC09_BrDFS_A_014,JIC,CC-072,201,9,83.23
p_043,1,2,4,56,JIC09_BrDFS_A_014,JIC,CC-072,197,7,71.04
p_056,1,3,5,27,JIC09_BrDFS_A_014,JIC,CC-072,197,10,90.25
p_065,2,1,6,28,JIC09_BrDFS_A_017,JIC,CC-094,197,9,60.15
p_005,2,2,7,29,JIC09_BrDFS_A_017,JIC,CC-094,196,6,53.9
p_010,1,3,1,30,JIC09_BrDFS_A_017,JIC,CC-094,193,10,87.38
p_019,1,1,2,31,JIC09_BrDFS_A_021,JIC,CC-114,194,9,67.74
p_022,1,2,3,32,JIC09_BrDFS_A_021,JIC,CC-114,205,8,90.36
p_030,1,3,4,33,JIC09_BrDFS_A_021,JIC,CC-114,205,9,61.53
p_033,2,1,5,34,JIC09_BrDFS_A_023,JIC,CC-140,195,10,87.73
p_041,2,2,6,35,JIC09_BrDFS_A_023,JIC,CC-140,199,10,90.25
p_044,1,3,7,36,JIC09_BrDFS_A_023,JIC,CC-140,205,10,66.23
p_052,2,1,1,37,JIC09_BrDFS_A_028,JIC,CC-156,204,8,128.59
p_061,2,2,2,64,JIC09_BrDFS_A_028,JIC,CC-156,202,10,71.61
p_064,1,3,3,1,JIC09_BrDFS_A_028,JIC,CC-156,202,9,81.1
p_015,1,1,4,2,JIC09_BrDFS_A_030,JIC,CC-160,201,10,52.41
p_026,2,2,5,3,JIC09_BrDFS_A_030,JIC,CC-160,201,8,53.26
p_057,1,3,6,4,JIC09_BrDFS_A_030,JIC,CC-160,201,9,54.01
p_001,1,1,7,5,JIC09_BrDFS_A_035,JIC,CC-168,201,10,62.83
p_006,1,2,1,6,JIC09_BrDFS_A_035,JIC,CC-168,201,9,72.98
p_011,1,3,2,7,JIC09_BrDFS_A_035,JIC,CC-168,197,10,53.79
p_016,2,1,3,8,JIC09_BrDFS_A_038,JIC,CC-HN54,197,8,74.39
p_020,2,2,4,9,JIC09_BrDFS_A_038,JIC,CC-HN54,197,8,50.76
p_029,1,3,5,65,JIC09_BrDFS_A_038,JIC,CC-HN54,196,10,55.51
p_053,1,1,6,10,JIC09_BrDFS_A_037,JIC,CC-HN53,199,9,63.5
p_058,1,2,7,11,JIC09_BrDFS_A_037,JIC,CC-HN53,205,7,45.81
p_062,1,3,1,12,JIC09_BrDFS_A_037,JIC,CC-HN53,204,10,63.23
p_004,2,1,2,13,JIC09_BrDFS_A_066,JIC,KENSHIN-402,202,9,42.28
p_012,2,2,3,14,JIC09_BrDFS_A_066,JIC,KENSHIN-402,202,6,67.25
p_035,1,3,4,15,JIC09_BrDFS_A_066,JIC,KENSHIN-402,201,10,70.9
p_046,2,1,5,66,JIC09_BrDFS_A_040,JIC,PC-023,201,9,68.42
