sample_id,sample,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,days.to.flowering,number.of.first.branch,dry.weight
p_028,28,1,1,1,46,RRES14_BnaDFFS001,RRES,AMBER X COMMANCHE DH LINE,199,10,163.84
p_009,9,2,2,2,47,RRES14_BnaDFFS001,RRES,AMBER X COMMANCHE DH LINE,205,8,237.81
p_066,66,1,3,3,48,RRES14_BnaDFFS001,RRES,AMBER X COMMANCHE DH LINE,204,9,114.45
p_003,3,2,1,4,49,RRES14_BnaDFS002,RRES,APEX,202,10,69.02
p_014,14,1,2,5,50,RRES14_BnaDFS002,RRES,APEX,202,9,93.25
p_023,23,2,3,6,51,RRES14_BnaDFS002,RRES,APEX,201,10,68.38
p_027,27,2,1,7,52,RRES14_BnaDFFS003,RRES,APEX-93_5 X GINYOU_3 DH LINE,201,8,57.68
p_031,31,1,2,1,53,RRES14_BnaDFFS003,RRES,APEX-93_5 X GINYOU_3 DH LINE,201,8,55.07
p_032,32,2,3,2,54,RRES14_BnaDFFS003,RRES,APEX-93_5 X GINYOU_3 DH LINE,201,10,94.55
p_042,42,2,1,3,55,RRES14_BnaDFFS004,RRES,BIENVENU DH4,201,9,83.23
p_043,43,1,2,4,56,RRES14_BnaDFFS004,RRES,BIENVENU DH4,197,7,71.04
p_056,56,1,3,5,27,RRES14_BnaDFFS004,RRES,BIENVENU DH4,197,10,90.25
p_065,65,2,1,6,28,RRES14_BnaDFFS005,RRES,BRYAN x FORTRESS DH LINE,197,9,60.15
p_005,5,2,2,7,29,RRES14_BnaDFFS005,RRES,BRYAN x FORTRESS DH LINE,196,6,53.9
p_010,10,1,3,1,30,RRES14_BnaDFFS005,RRES,BRYAN x FORTRESS DH LINE,193,10,87.38
p_019,19,1,1,2,31,RRES14_BnaDFFS006,RRES,CANBERRA x COURAGE DH LINE,194,9,67.74
p_022,22,1,2,3,32,RRES14_BnaDFFS006,RRES,CANBERRA x COURAGE DH LINE,205,8,90.36
p_030,30,1,3,4,33,RRES14_BnaDFFS006,RRES,CANBERRA x COURAGE DH LINE,205,9,61.53
p_033,33,2,1,5,34,RRES14_BnaDFFS007,RRES,CAPRICORN DH1,195,10,87.73
p_041,41,2,2,6,35,RRES14_BnaDFFS007,RRES,CAPRICORN DH1,199,10,90.25
p_044,44,1,3,7,36,RRES14_BnaDFFS007,RRES,CAPRICORN DH1,205,10,66.23
p_052,52,2,1,1,37,RRES14_BnaDFFS008,RRES,COLUMBUS X NICKEL DH LINE,204,8,128.59
p_061,61,2,2,2,64,RRES14_BnaDFFS008,RRES,COLUMBUS X NICKEL DH LINE,202,10,71.61
p_064,64,1,3,3,1,RRES14_BnaDFFS008,RRES,COLUMBUS X NICKEL DH LINE,202,9,81.1
p_015,15,1,1,4,2,RRES14_BnaDFFS009,RRES,DARMOR,201,10,52.41
p_026,26,2,2,5,3,RRES14_BnaDFFS009,RRES,DARMOR,201,8,53.26
p_057,57,1,3,6,4,RRES14_BnaDFFS009,RRES,DARMOR,201,9,54.01
p_001,1,1,1,7,5,RRES14_BnaDFFS010,RRES,HANSEN X GASPARD DH LINE,201,10,62.83
p_006,6,1,2,1,6,RRES14_BnaDFFS010,RRES,HANSEN X GASPARD DH LINE,201,9,72.98
p_011,11,1,3,2,7,RRES14_BnaDFFS010,RRES,HANSEN X GASPARD DH LINE,197,10,53.79
p_016,16,2,1,3,8,RRES14_BnaDFFS011,RRES,INCA X  CONTACT  DH LINE,197,8,74.39
p_020,20,2,2,4,9,RRES14_BnaDFFS011,RRES,INCA X  CONTACT  DH LINE,197,8,50.76
p_029,29,1,3,5,65,RRES14_BnaDFFS011,RRES,INCA X  CONTACT  DH LINE,196,10,55.51
p_053,53,1,1,6,10,RRES14_BnaDFFS012,RRES,MADRIGAL x RECITAL DH LINE,199,9,63.5
