BIP_Accession_Name,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,cultivar_names,ug/g,Brassicasterol,Campesterol diunsat,Leaf nitrogen content
RRES14_BnaDFFS001,p_028,28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,RRES14_BnaDFFS001,RRES,s-00001,AMBER X COMMANCHE DH LINE,,1067.32,25.77,1609.77
RRES14_BnaDFFS001,p_009,9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,RRES14_BnaDFFS001,RRES,s-00001,AMBER X COMMANCHE DH LINE,,498.62,56.26,1382.68
RRES14_BnaDFFS001,p_066,66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,RRES14_BnaDFFS001,RRES,s-00001,AMBER X COMMANCHE DH LINE,,70.08,86.74,1155.59
RRES14_BnaDFS002,p_003,3,2,1,4,49,5,BnaDFS002,BnaDFS002,RRES14_BnaDFS002,RRES,s-00002,APEX,,1237.15,50.68,1314.84
RRES14_BnaDFS002,p_014,14,1,2,5,50,5,BnaDFS002,BnaDFS002,RRES14_BnaDFS002,RRES,s-00002,APEX,,467.5,57.44,1374.59
RRES14_BnaDFS002,p_023,23,2,3,6,51,5,BnaDFS002,BnaDFS002,RRES14_BnaDFS002,RRES,s-00002,APEX,,467.5,57.44,1374.59
RRES14_BnaDFFS003,p_027,27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,RRES14_BnaDFFS003,RRES,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,1175.69,26.39,1450.04
RRES14_BnaDFFS003,p_031,31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,RRES14_BnaDFFS003,RRES,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,436.37,58.63,1366.5
RRES14_BnaDFFS003,p_032,32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,RRES14_BnaDFFS003,RRES,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,1175.69,26.39,1450.04
RRES14_BnaDFFS004,p_042,42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,RRES14_BnaDFFS004,RRES,s-00004,BIENVENU DH4,,1072.56,34.11,1462.64
