BIP_Accession_Name,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,days.to.flowering,number.of.first.branch,dry.weight
JIC10_BnaDFFS001,28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,JIC10_BnaDFFS001,JIC,s-00001,199,10,163.84
JIC10_BnaDFFS001,9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,JIC10_BnaDFFS001,JIC,s-00001,205,8,237.81
JIC10_BnaDFFS001,66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,JIC10_BnaDFFS001,JIC,s-00001,204,9,114.45
JIC10_BnaDFS002,3,2,1,4,49,5,BnaDFS002,BnaDFS002,JIC10_BnaDFS002,JIC,s-00002,202,10,69.02
JIC10_BnaDFS002,14,1,2,5,50,5,BnaDFS002,BnaDFS002,JIC10_BnaDFS002,JIC,s-00002,202,9,93.25
JIC10_BnaDFS002,23,2,3,6,51,5,BnaDFS002,BnaDFS002,JIC10_BnaDFS002,JIC,s-00002,201,10,68.38
JIC10_BnaDFFS003,27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,JIC10_BnaDFFS003,JIC,s-00003,201,8,57.68
JIC10_BnaDFFS003,31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,JIC10_BnaDFFS003,JIC,s-00003,201,8,55.07
JIC10_BnaDFFS003,32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,JIC10_BnaDFFS003,JIC,s-00003,201,10,94.55
JIC10_BnaDFFS004,42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,JIC10_BnaDFFS004,JIC,s-00004,201,9,83.23
JIC10_BnaDFFS004,43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,JIC10_BnaDFFS004,JIC,s-00004,197,7,71.04
JIC10_BnaDFFS004,56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,JIC10_BnaDFFS004,JIC,s-00004,197,10,90.25
JIC10_BnaDFFS005,65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,JIC10_BnaDFFS005,JIC,s-00005,197,9,60.15
JIC10_BnaDFFS005,5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,JIC10_BnaDFFS005,JIC,s-00005,196,6,53.9
JIC10_BnaDFFS005,10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,JIC10_BnaDFFS005,JIC,s-00005,193,10,87.38
JIC10_BnaDFFS006,19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,JIC10_BnaDFFS006,JIC,s-00006,194,9,67.74
JIC10_BnaDFFS006,22,1,2,3,32,21,BnaDFFS006,BnaDFFS006,JIC10_BnaDFFS006,JIC,s-00006,205,8,90.36
