BIP_Accession_Name,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,cultivar_names,ug/g,Brassicasterol
U.Nottm14_BnaDFFS001,p_028,28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,AMBER X COMMANCHE DH LINE,,1067.32
U.Nottm14_BnaDFFS001,p_009,9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,AMBER X COMMANCHE DH LINE,,498.62
U.Nottm14_BnaDFFS001,p_066,66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,AMBER X COMMANCHE DH LINE,,70.08
U.Nottm14_BnaDFS002,p_003,3,2,1,4,49,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,APEX,,1237.15
U.Nottm14_BnaDFS002,p_014,14,1,2,5,50,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,APEX,,467.5
U.Nottm14_BnaDFS002,p_023,23,2,3,6,51,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,APEX,,467.5
U.Nottm14_BnaDFFS003,p_027,27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,1175.69
U.Nottm14_BnaDFFS003,p_031,31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,436.37
U.Nottm14_BnaDFFS003,p_032,32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,APEX-93_5 X GINYOU_3 DH LINE,,1175.69
U.Nottm14_BnaDFFS004,p_042,42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,BIENVENU DH4,,1072.56
U.Nottm14_BnaDFFS004,p_043,43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,BIENVENU DH4,,405.25
U.Nottm14_BnaDFFS004,p_056,56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,BIENVENU DH4,,405.25
U.Nottm14_BnaDFFS005,p_065,65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,BRYAN x FORTRESS DH LINE,,896.17
U.Nottm14_BnaDFFS005,p_005,5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,BRYAN x FORTRESS DH LINE,,374.12
U.Nottm14_BnaDFFS005,p_010,10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,BRYAN x FORTRESS DH LINE,,896.17
U.Nottm14_BnaDFFS006,p_019,19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,U.Nottm14_BnaDFFS006,University of Nottingham,s-00006,CANBERRA x COURAGE DH LINE,,982.43
