Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
JIC09_BnaDFFS001,JIC,2009,BnaDFFS001,Amber X Commanche,Winter OSR
JIC09_BnaDFS002,JIC,2009,BnaDFS002,Apex,Winter OSR
JIC09_BnaDFFS003,JIC,2009,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
JIC09_BnaDFFS004,JIC,2009,BnaDFFS004,Bienvenu,Winter OSR
JIC09_BnaDFFS005,JIC,2009,BnaDFFS005,Bryan X Fortress ,Winter OSR
JIC09_BnaDFFS006,JIC,2009,BnaDFFS006,Canberra X Courage ,Winter OSR
JIC09_BnaDFFS007,JIC,2009,BnaDFFS007,Capricorn,Winter OSR
JIC09_BnaDFFS008,JIC,2009,BnaDFFS008,Columbus X Nickel ,Winter OSR
JIC09_BnaDFFS009,JIC,2009,BnaDFFS009,Darmor,Winter OSR
JIC09_BnaDFFS010,JIC,2009,BnaDFFS010,Hansen X Gaspard,Winter OSR
JIC09_BnaDFFS011,JIC,2009,BnaDFFS011,Inca X  Contact,Winter OSR
JIC09_BnaDFFS012,JIC,2009,BnaDFFS012,Madrigal X Recital,Winter OSR
JIC09_BnaDFFS013,JIC,2009,BnaDFFS013,Major,Winter OSR
JIC09_BnaDFFS014,JIC,2009,BnaDFFS014,Ningyou 7,Winter OSR
JIC09_BnaDFFS015,JIC,2009,BnaDFFS015,Rafal Dh1,Winter OSR
JIC09_BnaDFFS016,JIC,2009,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
JIC09_BnaDFFS017,JIC,2009,BnaDFFS017,Samourai,Winter OSR
JIC09_BnaDFFS018,JIC,2009,BnaDFFS018,Tapidor,Winter OSR
JIC09_BnaDFFS019,JIC,2009,BnaDFFS019,Tequilla X Aragon,Winter OSR
