Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,genetic_status of founder line
JIC10_BnaDFFS001,JIC,2010,BnaDFFS001,AMBER X COMMANCHE DH LINE,DH
JIC10_BnaDFS002,JIC,2010,BnaDFS002,APEX,DH
JIC10_BnaDFFS003,JIC,2010,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,DH
JIC10_BnaDFFS004,JIC,2010,BnaDFFS004,BIENVENU DH4,unknown
JIC10_BnaDFFS005,JIC,2010,BnaDFFS005,BRYAN x FORTRESS DH LINE,DH
JIC10_BnaDFFS006,JIC,2010,BnaDFFS006,CANBERRA x COURAGE DH LINE,Backcross
JIC10_BnaDFFS007,JIC,2010,BnaDFFS007,CAPRICORN DH1,DH
JIC10_BnaDFFS008,JIC,2010,BnaDFFS008,COLUMBUS X NICKEL DH LINE,DH
JIC10_BnaDFFS009,JIC,2010,BnaDFFS009,DARMOR,DH
JIC10_BnaDFFS010,JIC,2010,BnaDFFS010,HANSEN X GASPARD DH LINE,unknown
JIC10_BnaDFFS011,JIC,2010,BnaDFFS011,INCA X  CONTACT  DH LINE,DH
JIC10_BnaDFFS012,JIC,2010,BnaDFFS012,MADRIGAL x RECITAL DH LINE,DH
JIC10_BnaDFFS013,JIC,2010,BnaDFFS013,MAJOR DH,DH
JIC10_BnaDFFS014,JIC,2010,BnaDFFS014,NINGYOU 7,DH
JIC10_BnaDFFS015,JIC,2010,BnaDFFS015,RAFAL DH1,DH
JIC10_BnaDFFS016,JIC,2010,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,DH
JIC10_BnaDFFS017,JIC,2010,BnaDFFS017,SAMOURAI,DH
JIC10_BnaDFFS018,JIC,2010,BnaDFFS018,TAPIDOR DH,DH
JIC10_BnaDFFS019,JIC,2010,BnaDFFS019,TEQUILLA x ARAGON DH LINE,DH
JIC10_BnaDFS020,JIC,2010,BnaDFS020,BALTIA,DH
JIC10_BnaDFS021,JIC,2010,BnaDFS021,EUROL,DH
JIC10_BnaDFS022,JIC,2010,BnaDFS022,JET NEUF,DH
