sample_id,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,Brassicasterol,Campesterol diunsat,seed copper content
p_028,1,1,1,46,JIC10_BnaDFFS001,JIC,Amber X Commanche  ,1067.32,25.77,1609.77
p_009,2,2,2,47,JIC10_BnaDFFS001,JIC,Amber X Commanche  ,498.62,56.26,1382.68
p_066,1,3,3,48,JIC10_BnaDFFS001,JIC,Amber X Commanche  ,70.08,86.74,1155.59
p_003,2,1,4,49,JIC10_BnaDFS002,JIC,Apex,1237.15,50.68,1314.84
p_014,1,2,5,50,JIC10_BnaDFS002,JIC,Apex,467.5,57.44,1374.59
p_023,2,3,6,51,JIC10_BnaDFS002,JIC,Apex,467.5,57.44,1374.59
p_027,2,1,7,52,JIC10_BnaDFFS003,JIC,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_031,1,2,1,53,JIC10_BnaDFFS003,JIC,Apex-93_5 X Ginyou_3  ,436.37,58.63,1366.5
p_032,2,3,2,54,JIC10_BnaDFFS003,JIC,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_042,2,1,3,55,JIC10_BnaDFFS004,JIC,Bienvenu 4,1072.56,34.11,1462.64
p_043,1,2,4,56,JIC10_BnaDFFS004,JIC,Bienvenu 4,405.25,59.82,1358.41
p_056,1,3,5,27,JIC10_BnaDFFS004,JIC,Bienvenu 4,405.25,59.82,1358.41
p_065,2,1,6,28,JIC10_BnaDFFS005,JIC,Bryan X Fortress  ,896.17,46.42,1681.61
p_005,2,2,7,29,JIC10_BnaDFFS005,JIC,Bryan X Fortress  ,374.12,61.01,1350.32
p_010,1,3,1,30,JIC10_BnaDFFS005,JIC,Bryan X Fortress  ,896.17,46.42,1681.61
p_019,1,1,2,31,JIC10_BnaDFFS006,JIC,Canberra X Courage  ,982.43,47.95,1524.8
p_022,1,2,3,32,JIC10_BnaDFFS006,JIC,Canberra X Courage  ,343,62.2,1342.23
p_030,1,3,4,33,JIC10_BnaDFFS006,JIC,Canberra X Courage  ,1058.63,24.46,1626.83
p_033,2,1,5,34,JIC10_BnaDFFS007,JIC,Capricorn 1,959.2,60.17,1433.49
p_041,2,2,6,35,JIC10_BnaDFFS007,JIC,Capricorn 1,311.87,63.39,1334.14
p_044,1,3,7,36,JIC10_BnaDFFS007,JIC,Capricorn 1,218.5,66.95,1309.87
p_052,2,1,1,37,JIC10_BnaDFFS008,JIC,Columbus X Nickel  ,1137.98,15.23,1697.8
p_061,2,2,2,64,JIC10_BnaDFFS008,JIC,Columbus X Nickel  ,280.75,64.57,1326.05
p_064,1,3,3,1,JIC10_BnaDFFS008,JIC,Columbus X Nickel  ,572.4,57.33,1414.92
p_015,1,1,4,2,JIC10_BnaDFFS009,JIC,Darmor,1058.63,24.46,1626.83
p_026,2,2,5,3,JIC10_BnaDFFS009,JIC,Darmor,249.62,65.76,1317.96
p_057,1,3,6,4,JIC10_BnaDFFS009,JIC,Darmor,94,71.7,1277.52
p_001,1,1,7,5,JIC10_BnaDFFS010,JIC,Hansen X Gaspard  ,854.68,23.74,1455.67
p_006,1,2,1,6,JIC10_BnaDFFS010,JIC,Hansen X Gaspard  ,218.5,66.95,1309.87
p_011,1,3,2,7,JIC10_BnaDFFS010,JIC,Hansen X Gaspard  ,374.12,61.01,1350.32
p_016,2,1,3,8,JIC10_BnaDFFS011,JIC,Inca X  Contact   ,825.03,36.06,1827.09
p_020,2,2,4,9,JIC10_BnaDFFS011,JIC,Inca X  Contact   ,187.37,68.14,1301.79
p_029,1,3,5,65,JIC10_BnaDFFS011,JIC,Inca X  Contact   ,280.75,77.65,1237.07
p_053,1,1,6,10,JIC10_BnaDFFS012,JIC,Madrigal X Recital  ,928.88,35.96,1457.55
p_058,1,2,7,11,JIC10_BnaDFFS012,JIC,Madrigal X Recital  ,156.25,69.33,1293.7
p_062,1,3,1,12,JIC10_BnaDFFS012,JIC,Madrigal X Recital  ,1058.63,24.46,1626.83
p_004,2,1,2,13,JIC10_BnaDFFS013,JIC,Major ,831.29,37.71,1174.79
p_012,2,2,3,14,JIC10_BnaDFFS013,JIC,Major ,125.12,70.52,1285.61
p_035,1,3,4,15,JIC10_BnaDFFS013,JIC,Major ,572.4,57.33,1414.92
p_046,2,1,5,66,JIC10_BnaDFFS014,JIC,Ningyou 7,794.31,43.89,1429.66
p_054,2,2,6,16,JIC10_BnaDFFS014,JIC,Ningyou 7,94,71.7,1277.52
p_017,1,3,7,17,JIC10_BnaDFFS014,JIC,Ningyou 7,249.62,65.76,1317.96
p_036,1,1,1,18,JIC10_BnaDFFS015,JIC,Rafal 1,757.32,44.71,1361.56
p_047,1,2,2,19,JIC10_BnaDFFS015,JIC,Rafal 1,62.87,72.89,1269.43
p_059,2,3,3,38,JIC10_BnaDFFS015,JIC,Rafal 1,374.12,61.01,1350.32
p_002,1,1,4,39,JIC10_BnaDFFS016,JIC,Rocket (Pst) X  Lizard   ,720.34,47.24,1446.44
p_007,1,2,5,20,JIC10_BnaDFFS016,JIC,Rocket (Pst) X  Lizard   ,31.75,74.08,1261.34
p_018,1,3,6,21,JIC10_BnaDFFS016,JIC,Rocket (Pst) X  Lizard   ,572.4,57.33,1414.92
p_025,2,1,7,22,JIC10_BnaDFFS017,JIC,Samourai,683.36,49.76,1576.69
p_060,2,2,1,23,JIC10_BnaDFFS017,JIC,Samourai,343,75.27,1253.25
