Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
RRES10_BnaDFFS001,RRES,2010,BnaDFFS001,Amber X Commanche,Winter OSR
RRES10_BnaDFS002,RRES,2010,BnaDFS002,Apex,Winter OSR
RRES10_BnaDFFS003,RRES,2010,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
RRES10_BnaDFFS004,RRES,2010,BnaDFFS004,Bienvenu,Winter OSR
RRES10_BnaDFFS005,RRES,2010,BnaDFFS005,Bryan X Fortress ,Winter OSR
RRES10_BnaDFFS006,RRES,2010,BnaDFFS006,Canberra X Courage ,Winter OSR
RRES10_BnaDFFS007,RRES,2010,BnaDFFS007,Capricorn,Winter OSR
RRES10_BnaDFFS008,RRES,2010,BnaDFFS008,Columbus X Nickel ,Winter OSR
RRES10_BnaDFFS009,RRES,2010,BnaDFFS009,Darmor,Winter OSR
RRES10_BnaDFFS010,RRES,2010,BnaDFFS010,Hansen X Gaspard,Winter OSR
RRES10_BnaDFFS011,RRES,2010,BnaDFFS011,Inca X  Contact,Winter OSR
RRES10_BnaDFFS012,RRES,2010,BnaDFFS012,Madrigal X Recital,Winter OSR
RRES10_BnaDFFS013,RRES,2010,BnaDFFS013,Major,Winter OSR
RRES10_BnaDFFS014,RRES,2010,BnaDFFS014,Ningyou 7,Winter OSR
RRES10_BnaDFFS015,RRES,2010,BnaDFFS015,Rafal Dh1,Winter OSR
RRES10_BnaDFFS016,RRES,2010,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
RRES10_BnaDFFS017,RRES,2010,BnaDFFS017,Samourai,Winter OSR
RRES10_BnaDFFS018,RRES,2010,BnaDFFS018,Tapidor,Winter OSR
RRES10_BnaDFFS019,RRES,2010,BnaDFFS019,Tequilla X Aragon,Winter OSR
