Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,genetic_status of founder line
RRES10_BnaDFFS001,RRES,2010,BnaDFFS001,AMBER X COMMANCHE DH LINE,DH
RRES10_BnaDFS002,RRES,2010,BnaDFS002,APEX,DH
RRES10_BnaDFFS003,RRES,2010,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,DH
RRES10_BnaDFFS004,RRES,2010,BnaDFFS004,BIENVENU DH4,unknown
RRES10_BnaDFFS005,RRES,2010,BnaDFFS005,BRYAN x FORTRESS DH LINE,DH
RRES10_BnaDFFS006,RRES,2010,BnaDFFS006,CANBERRA x COURAGE DH LINE,Backcross
RRES10_BnaDFFS007,RRES,2010,BnaDFFS007,CAPRICORN DH1,DH
RRES10_BnaDFFS008,RRES,2010,BnaDFFS008,COLUMBUS X NICKEL DH LINE,DH
RRES10_BnaDFFS009,RRES,2010,BnaDFFS009,DARMOR,DH
RRES10_BnaDFFS010,RRES,2010,BnaDFFS010,HANSEN X GASPARD DH LINE,unknown
RRES10_BnaDFFS011,RRES,2010,BnaDFFS011,INCA X  CONTACT  DH LINE,DH
RRES10_BnaDFFS012,RRES,2010,BnaDFFS012,MADRIGAL x RECITAL DH LINE,DH
RRES10_BnaDFFS013,RRES,2010,BnaDFFS013,MAJOR DH,DH
RRES10_BnaDFFS014,RRES,2010,BnaDFFS014,NINGYOU 7,DH
RRES10_BnaDFFS015,RRES,2010,BnaDFFS015,RAFAL DH1,DH
RRES10_BnaDFFS016,RRES,2010,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,DH
RRES10_BnaDFFS017,RRES,2010,BnaDFFS017,SAMOURAI,DH
RRES10_BnaDFFS018,RRES,2010,BnaDFFS018,TAPIDOR DH,DH
RRES10_BnaDFFS019,RRES,2010,BnaDFFS019,TEQUILLA x ARAGON DH LINE,DH
RRES10_BnaDFS020,RRES,2010,BnaDFS020,BALTIA,DH
RRES10_BnaDFS021,RRES,2010,BnaDFS021,EUROL,DH
RRES10_BnaDFS022,RRES,2010,BnaDFS022,JET NEUF,DH
