sample_id,sample,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,days.to.flowering,number.of.first.branch,root dry weight
p_028,28,1,1,1,46,RRES10_BnaDFFS001,RRES,Amber X Commanche  ,199,10,163.84
p_009,9,2,2,2,47,RRES10_BnaDFFS001,RRES,Amber X Commanche  ,205,8,237.81
p_066,66,1,3,3,48,RRES10_BnaDFFS001,RRES,Amber X Commanche  ,204,9,114.45
p_003,3,2,1,4,49,RRES10_BnaDFS002,RRES,Apex,202,10,69.02
p_014,14,1,2,5,50,RRES10_BnaDFS002,RRES,Apex,202,9,93.25
p_023,23,2,3,6,51,RRES10_BnaDFS002,RRES,Apex,201,10,68.38
p_027,27,2,1,7,52,RRES10_BnaDFFS003,RRES,Apex-93_5 X Ginyou_3  ,201,8,57.68
p_031,31,1,2,1,53,RRES10_BnaDFFS003,RRES,Apex-93_5 X Ginyou_3  ,201,8,55.07
p_032,32,2,3,2,54,RRES10_BnaDFFS003,RRES,Apex-93_5 X Ginyou_3  ,201,10,94.55
p_042,42,2,1,3,55,RRES10_BnaDFFS004,RRES,Bienvenu 4,201,9,83.23
p_043,43,1,2,4,56,RRES10_BnaDFFS004,RRES,Bienvenu 4,197,7,71.04
p_056,56,1,3,5,27,RRES10_BnaDFFS004,RRES,Bienvenu 4,197,10,90.25
p_065,65,2,1,6,28,RRES10_BnaDFFS005,RRES,Bryan X Fortress  ,197,9,60.15
p_005,5,2,2,7,29,RRES10_BnaDFFS005,RRES,Bryan X Fortress  ,196,6,53.9
p_010,10,1,3,1,30,RRES10_BnaDFFS005,RRES,Bryan X Fortress  ,193,10,87.38
p_019,19,1,1,2,31,RRES10_BnaDFFS006,RRES,Canberra X Courage  ,194,9,67.74
p_022,22,1,2,3,32,RRES10_BnaDFFS006,RRES,Canberra X Courage  ,205,8,90.36
p_030,30,1,3,4,33,RRES10_BnaDFFS006,RRES,Canberra X Courage  ,205,9,61.53
p_033,33,2,1,5,34,RRES10_BnaDFFS007,RRES,Capricorn 1,195,10,87.73
p_041,41,2,2,6,35,RRES10_BnaDFFS007,RRES,Capricorn 1,199,10,90.25
p_044,44,1,3,7,36,RRES10_BnaDFFS007,RRES,Capricorn 1,205,10,66.23
p_052,52,2,1,1,37,RRES10_BnaDFFS008,RRES,Columbus X Nickel  ,204,8,128.59
p_061,61,2,2,2,64,RRES10_BnaDFFS008,RRES,Columbus X Nickel  ,202,10,71.61
p_064,64,1,3,3,1,RRES10_BnaDFFS008,RRES,Columbus X Nickel  ,202,9,81.1
p_015,15,1,1,4,2,RRES10_BnaDFFS009,RRES,Darmor,201,10,52.41
p_026,26,2,2,5,3,RRES10_BnaDFFS009,RRES,Darmor,201,8,53.26
p_057,57,1,3,6,4,RRES10_BnaDFFS009,RRES,Darmor,201,9,54.01
p_001,1,1,1,7,5,RRES10_BnaDFFS010,RRES,Hansen X Gaspard  ,201,10,62.83
p_006,6,1,2,1,6,RRES10_BnaDFFS010,RRES,Hansen X Gaspard  ,201,9,72.98
p_011,11,1,3,2,7,RRES10_BnaDFFS010,RRES,Hansen X Gaspard  ,197,10,53.79
p_016,16,2,1,3,8,RRES10_BnaDFFS011,RRES,Inca X  Contact   ,197,8,74.39
p_020,20,2,2,4,9,RRES10_BnaDFFS011,RRES,Inca X  Contact   ,197,8,50.76
p_029,29,1,3,5,65,RRES10_BnaDFFS011,RRES,Inca X  Contact   ,196,10,55.51
p_053,53,1,1,6,10,RRES10_BnaDFFS012,RRES,Madrigal X Recital  ,199,9,63.5
p_058,58,1,2,7,11,RRES10_BnaDFFS012,RRES,Madrigal X Recital  ,205,7,45.81
p_062,62,1,3,1,12,RRES10_BnaDFFS012,RRES,Madrigal X Recital  ,204,10,63.23
p_004,4,2,1,2,13,RRES10_BnaDFFS013,RRES,Major ,202,9,42.28
p_012,12,2,2,3,14,RRES10_BnaDFFS013,RRES,Major ,202,6,67.25
p_035,35,1,3,4,15,RRES10_BnaDFFS013,RRES,Major ,201,10,70.9
p_046,46,2,1,5,66,RRES10_BnaDFFS014,RRES,Ningyou 7,201,9,68.42
p_054,54,2,2,6,16,RRES10_BnaDFFS014,RRES,Ningyou 7,201,8,56.83
p_017,17,1,3,7,17,RRES10_BnaDFFS014,RRES,Ningyou 7,201,9,68.37
p_036,36,1,1,1,18,RRES10_BnaDFFS008,RRES,Rafal 1,201,10,97.58
p_047,47,1,2,2,19,RRES10_BnaDFFS008,RRES,Rafal 1,197,10,72.34
p_059,59,2,3,3,38,RRES10_BnaDFFS008,RRES,Rafal 1,197,10,102.38
p_002,2,1,1,4,39,RRES10_BnaDFFS009,RRES,Rocket (Pst) X  Lizard   ,197,8,65.2
p_007,7,1,2,5,20,RRES10_BnaDFFS009,RRES,Rocket (Pst) X  Lizard   ,196,10,48.64
p_018,18,1,3,6,21,RRES10_BnaDFFS009,RRES,Rocket (Pst) X  Lizard   ,193,9,77.41
p_025,25,2,1,7,22,RRES10_BnaDFFS010,RRES,Samourai,194,10,87.53
p_060,60,2,2,1,23,RRES10_BnaDFFS010,RRES,Samourai,205,8,64.79
p_008,8,1,3,2,24,RRES10_BnaDFFS010,RRES,Samourai,205,9,41.91
p_038,38,1,1,3,25,RRES10_BnaDFFS011,RRES,Tapidor ,195,10,49.22
p_049,49,2,2,4,40,RRES10_BnaDFFS011,RRES,Tapidor ,199,9,42.83
p_034,34,1,3,5,41,RRES10_BnaDFFS011,RRES,Tapidor ,205,10,41.69
p_045,45,1,1,6,26,RRES10_BnaDFFS012,RRES,Tequilla X Aragon  ,204,8,48.69
p_037,37,1,2,7,42,RRES10_BnaDFFS012,RRES,Tequilla X Aragon  ,202,8,46.69
p_048,48,1,3,1,43,RRES10_BnaDFFS012,RRES,Tequilla X Aragon  ,202,10,54.83
