Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
U.Nottm14_BnaDFFS001,University of Nottingham,2014,BnaDFFS001,Amber X Commanche,Winter OSR
U.Nottm14_BnaDFS002,University of Nottingham,2014,BnaDFS002,Apex,Winter OSR
U.Nottm14_BnaDFFS003,University of Nottingham,2014,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
U.Nottm14_BnaDFFS004,University of Nottingham,2014,BnaDFFS004,Bienvenu,Winter OSR
U.Nottm14_BnaDFFS005,University of Nottingham,2014,BnaDFFS005,Bryan X Fortress ,Winter OSR
U.Nottm14_BnaDFFS006,University of Nottingham,2014,BnaDFFS006,Canberra X Courage ,Winter OSR
U.Nottm14_BnaDFFS007,University of Nottingham,2014,BnaDFFS007,Capricorn,Winter OSR
U.Nottm14_BnaDFFS008,University of Nottingham,2014,BnaDFFS008,Columbus X Nickel ,Winter OSR
U.Nottm14_BnaDFFS009,University of Nottingham,2014,BnaDFFS009,Darmor,Winter OSR
U.Nottm14_BnaDFFS010,University of Nottingham,2014,BnaDFFS010,Hansen X Gaspard,Winter OSR
U.Nottm14_BnaDFFS011,University of Nottingham,2014,BnaDFFS011,Inca X  Contact,Winter OSR
U.Nottm14_BnaDFFS012,University of Nottingham,2014,BnaDFFS012,Madrigal X Recital,Winter OSR
U.Nottm14_BnaDFFS013,University of Nottingham,2014,BnaDFFS013,Major,Winter OSR
U.Nottm14_BnaDFFS014,University of Nottingham,2014,BnaDFFS014,Ningyou 7,Winter OSR
U.Nottm14_BnaDFFS015,University of Nottingham,2014,BnaDFFS015,Rafal Dh1,Winter OSR
U.Nottm14_BnaDFFS016,University of Nottingham,2014,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
U.Nottm14_BnaDFFS017,University of Nottingham,2014,BnaDFFS017,Samourai,Winter OSR
U.Nottm14_BnaDFFS018,University of Nottingham,2014,BnaDFFS018,Tapidor,Winter OSR
U.Nottm14_BnaDFFS019,University of Nottingham,2014,BnaDFFS019,Tequilla X Aragon,Winter OSR
