Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,genetic_status of founder line
U.Nottm14_BnaDFFS001,University of Nottingham,2014,BnaDFFS001,AMBER X COMMANCHE DH LINE,DH
U.Nottm14_BnaDFS002,University of Nottingham,2014,BnaDFS002,APEX,DH
U.Nottm14_BnaDFFS003,University of Nottingham,2014,BnaDFFS003,APEX-93_5 X GINYOU_3 DH LINE,DH
U.Nottm14_BnaDFFS004,University of Nottingham,2014,BnaDFFS004,BIENVENU DH4,unknown
U.Nottm14_BnaDFFS005,University of Nottingham,2014,BnaDFFS005,BRYAN x FORTRESS DH LINE,DH
U.Nottm14_BnaDFFS006,University of Nottingham,2014,BnaDFFS006,CANBERRA x COURAGE DH LINE,Backcross
U.Nottm14_BnaDFFS007,University of Nottingham,2014,BnaDFFS007,CAPRICORN DH1,DH
U.Nottm14_BnaDFFS008,University of Nottingham,2014,BnaDFFS008,COLUMBUS X NICKEL DH LINE,DH
U.Nottm14_BnaDFFS009,University of Nottingham,2014,BnaDFFS009,DARMOR,DH
U.Nottm14_BnaDFFS010,University of Nottingham,2014,BnaDFFS010,HANSEN X GASPARD DH LINE,unknown
U.Nottm14_BnaDFFS011,University of Nottingham,2014,BnaDFFS011,INCA X  CONTACT  DH LINE,DH
U.Nottm14_BnaDFFS012,University of Nottingham,2014,BnaDFFS012,MADRIGAL x RECITAL DH LINE,DH
U.Nottm14_BnaDFFS013,University of Nottingham,2014,BnaDFFS013,MAJOR DH,DH
U.Nottm14_BnaDFFS014,University of Nottingham,2014,BnaDFFS014,NINGYOU 7,DH
U.Nottm14_BnaDFFS015,University of Nottingham,2014,BnaDFFS015,RAFAL DH1,DH
U.Nottm14_BnaDFFS016,University of Nottingham,2014,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,DH
U.Nottm14_BnaDFFS017,University of Nottingham,2014,BnaDFFS017,SAMOURAI,DH
U.Nottm14_BnaDFFS018,University of Nottingham,2014,BnaDFFS018,TAPIDOR DH,DH
U.Nottm14_BnaDFFS019,University of Nottingham,2014,BnaDFFS019,TEQUILLA x ARAGON DH LINE,DH
U.Nottm14_BnaDFS020,University of Nottingham,2014,BnaDFS020,BALTIA,DH
U.Nottm14_BnaDFS021,University of Nottingham,2014,BnaDFS021,EUROL,DH
U.Nottm14_BnaDFS022,University of Nottingham,2014,BnaDFS022,JET NEUF,DH
