sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,days.to.flowering,number.of.first.branch
28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,199,10
9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,205,8
66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,U.Nottm14_BnaDFFS001,University of Nottingham,s-00001,204,9
3,2,1,4,49,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,202,10
14,1,2,5,50,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,202,9
23,2,3,6,51,5,BnaDFS002,BnaDFS002,U.Nottm14_BnaDFS002,University of Nottingham,s-00002,201,10
27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,201,8
31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,201,8
32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm14_BnaDFFS003,University of Nottingham,s-00003,201,10
42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,201,9
43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,197,7
56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,U.Nottm14_BnaDFFS004,University of Nottingham,s-00004,197,10
65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,197,9
5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,196,6
10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,U.Nottm14_BnaDFFS005,University of Nottingham,s-00005,193,10
