BIP_Accession_Name,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,cultivar_name,ug/g,Brassicasterol
U.Nottm15_BnaDFFS001,p_028,28,1,1,1,46,3,BnaDFFS001,BnaDFFS001,U.Nottm15_BnaDFFS001,University of Nottingham,s-00001,Amber X Commanche  ,,1067.32
U.Nottm15_BnaDFFS001,p_009,9,2,2,2,47,3,BnaDFFS001,BnaDFFS001,U.Nottm15_BnaDFFS001,University of Nottingham,s-00001,Amber X Commanche  ,,498.62
U.Nottm15_BnaDFFS001,p_066,66,1,3,3,48,3,BnaDFFS001,BnaDFFS001,U.Nottm15_BnaDFFS001,University of Nottingham,s-00001,Amber X Commanche  ,,70.08
U.Nottm15_BnaDFFS002,p_003,3,2,1,4,49,5,BnaDFS002,BnaDFS002,U.Nottm15_BnaDFFS002,University of Nottingham,s-00002,Apex,,1237.15
U.Nottm15_BnaDFFS002,p_014,14,1,2,5,50,5,BnaDFS002,BnaDFS002,U.Nottm15_BnaDFFS002,University of Nottingham,s-00002,Apex,,467.5
U.Nottm15_BnaDFFS002,p_023,23,2,3,6,51,5,BnaDFS002,BnaDFS002,U.Nottm15_BnaDFFS002,University of Nottingham,s-00002,Apex,,467.5
U.Nottm15_BnaDFFS003,p_027,27,2,1,7,52,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm15_BnaDFFS003,University of Nottingham,s-00003,Apex-93_5 X Ginyou_3  ,,1175.69
U.Nottm15_BnaDFFS003,p_031,31,1,2,1,53,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm15_BnaDFFS003,University of Nottingham,s-00003,Apex-93_5 X Ginyou_3  ,,436.37
U.Nottm15_BnaDFFS003,p_032,32,2,3,2,54,7,BnaDFFS003 Ref1,BnaDFFS003,U.Nottm15_BnaDFFS003,University of Nottingham,s-00003,Apex-93_5 X Ginyou_3  ,,1175.69
U.Nottm15_BnaDFFS004,p_042,42,2,1,3,55,14,BnaDFFS004,BnaDFFS004,U.Nottm15_BnaDFFS004,University of Nottingham,s-00004,Bienvenu 4,,1072.56
U.Nottm15_BnaDFFS004,p_043,43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,U.Nottm15_BnaDFFS004,University of Nottingham,s-00004,Bienvenu 4,,405.25
U.Nottm15_BnaDFFS004,p_056,56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,U.Nottm15_BnaDFFS004,University of Nottingham,s-00004,Bienvenu 4,,405.25
U.Nottm15_BnaDFFS005,p_065,65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,U.Nottm15_BnaDFFS005,University of Nottingham,s-00005,Bryan X Fortress  ,,896.17
U.Nottm15_BnaDFFS005,p_005,5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,U.Nottm15_BnaDFFS005,University of Nottingham,s-00005,Bryan X Fortress  ,,374.12
U.Nottm15_BnaDFFS005,p_010,10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,U.Nottm15_BnaDFFS005,University of Nottingham,s-00005,Bryan X Fortress  ,,896.17
U.Nottm15_BnaDFFS006,p_019,19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,U.Nottm15_BnaDFFS006,University of Nottingham,s-00006,Canberra X Courage  ,,982.43
U.Nottm15_BnaDFFS006,p_022,22,1,2,3,32,21,BnaDFFS006,BnaDFFS006,U.Nottm15_BnaDFFS006,University of Nottingham,s-00006,Canberra X Courage  ,,343
U.Nottm15_BnaDFFS006,p_030,30,1,3,4,33,21,BnaDFFS006,BnaDFFS006,U.Nottm15_BnaDFFS006,University of Nottingham,s-00006,Canberra X Courage  ,,1058.63
U.Nottm15_BnaDFFS007,p_033,33,2,1,5,34,23,BnaDFFS007,BnaDFFS007,U.Nottm15_BnaDFFS007,University of Nottingham,s-00007,Capricorn 1,,959.2
U.Nottm15_BnaDFFS007,p_041,41,2,2,6,35,23,BnaDFFS007,BnaDFFS007,U.Nottm15_BnaDFFS007,University of Nottingham,s-00007,Capricorn 1,,311.87
