sample_id,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,Brassicasterol,Campesterol diunsat,Early leaf Kjeldal N
p_028,1,1,1,46,U.Nottm15_BnaDFFS001,University of Nottingham,Amber X Commanche  ,1067.32,25.77,1609.77
p_009,2,2,2,47,U.Nottm15_BnaDFFS001,University of Nottingham,Amber X Commanche  ,498.62,56.26,1382.68
p_066,1,3,3,48,U.Nottm15_BnaDFFS001,University of Nottingham,Amber X Commanche  ,70.08,86.74,1155.59
p_003,2,1,4,49,U.Nottm15_BnaDFFS002,University of Nottingham,Apex,1237.15,50.68,1314.84
p_014,1,2,5,50,U.Nottm15_BnaDFFS002,University of Nottingham,Apex,467.5,57.44,1374.59
p_023,2,3,6,51,U.Nottm15_BnaDFFS002,University of Nottingham,Apex,467.5,57.44,1374.59
p_027,2,1,7,52,U.Nottm15_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_031,1,2,1,53,U.Nottm15_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,436.37,58.63,1366.5
p_032,2,3,2,54,U.Nottm15_BnaDFFS003,University of Nottingham,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_042,2,1,3,55,U.Nottm15_BnaDFFS004,University of Nottingham,Bienvenu 4,1072.56,34.11,1462.64
p_043,1,2,4,56,U.Nottm15_BnaDFFS004,University of Nottingham,Bienvenu 4,405.25,59.82,1358.41
p_056,1,3,5,27,U.Nottm15_BnaDFFS004,University of Nottingham,Bienvenu 4,405.25,59.82,1358.41
p_065,2,1,6,28,U.Nottm15_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,896.17,46.42,1681.61
p_005,2,2,7,29,U.Nottm15_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,374.12,61.01,1350.32
p_010,1,3,1,30,U.Nottm15_BnaDFFS005,University of Nottingham,Bryan X Fortress  ,896.17,46.42,1681.61
p_019,1,1,2,31,U.Nottm15_BnaDFFS006,University of Nottingham,Canberra X Courage  ,982.43,47.95,1524.8
p_022,1,2,3,32,U.Nottm15_BnaDFFS006,University of Nottingham,Canberra X Courage  ,343,62.2,1342.23
