Accession_name,originating_organisation,year_produced,Line_name,cultivar_name,Crop type
EI15_BnaDFFS001,Earlham Institute,2015,BnaDFFS001,Amber X Commanche,Winter OSR
EI15_BnaDFFS002,Earlham Institute,2015,BnaDFS002,Apex,Winter OSR
EI15_BnaDFFS003,Earlham Institute,2015,BnaDFFS003,Apex-93_5 X Ginyou_3,Winter OSR
EI15_BnaDFFS004,Earlham Institute,2015,BnaDFFS004,Bienvenu,Winter OSR
EI15_BnaDFFS005,Earlham Institute,2015,BnaDFFS005,Bryan X Fortress ,Winter OSR
EI15_BnaDFFS006,Earlham Institute,2015,BnaDFFS006,Canberra X Courage ,Winter OSR
EI15_BnaDFFS007,Earlham Institute,2015,BnaDFFS007,Capricorn,Winter OSR
EI15_BnaDFFS008,Earlham Institute,2015,BnaDFFS008,Columbus X Nickel ,Winter OSR
EI15_BnaDFFS009,Earlham Institute,2015,BnaDFFS009,Darmor,Winter OSR
EI15_BnaDFFS010,Earlham Institute,2015,BnaDFFS010,Hansen X Gaspard,Winter OSR
EI15_BnaDFFS011,Earlham Institute,2015,BnaDFFS011,Inca X  Contact,Winter OSR
EI15_BnaDFFS012,Earlham Institute,2015,BnaDFFS012,Madrigal X Recital,Winter OSR
EI15_BnaDFFS013,Earlham Institute,2015,BnaDFFS013,Major,Winter OSR
EI15_BnaDFFS014,Earlham Institute,2015,BnaDFFS014,Ningyou 7,Winter OSR
EI15_BnaDFFS015,Earlham Institute,2015,BnaDFFS015,Rafal Dh1,Winter OSR
EI15_BnaDFFS016,Earlham Institute,2015,BnaDFFS016,Rocket (Pst) X  Lizard,Winter OSR
EI15_BnaDFFS017,Earlham Institute,2015,BnaDFFS017,Samourai,Winter OSR
EI15_BnaDFFS018,Earlham Institute,2015,BnaDFFS018,Tapidor,Winter OSR
EI15_BnaDFFS019,Earlham Institute,2015,BnaDFFS019,Tequilla X Aragon,Winter OSR
