sample_id,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,Brassicasterol,Campesterol diunsat,Early leaf Kjeldal N
p_028,1,1,1,46,EI15_BnaDFFS001,Earlham Institute,Amber X Commanche  ,1067.32,25.77,1609.77
p_009,2,2,2,47,EI15_BnaDFFS001,Earlham Institute,Amber X Commanche  ,498.62,56.26,1382.68
p_066,1,3,3,48,EI15_BnaDFFS001,Earlham Institute,Amber X Commanche  ,70.08,86.74,1155.59
p_003,2,1,4,49,EI15_BnaDFFS002,Earlham Institute,Apex,1237.15,50.68,1314.84
p_014,1,2,5,50,EI15_BnaDFFS002,Earlham Institute,Apex,467.5,57.44,1374.59
p_023,2,3,6,51,EI15_BnaDFFS002,Earlham Institute,Apex,467.5,57.44,1374.59
p_027,2,1,7,52,EI15_BnaDFFS003,Earlham Institute,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_031,1,2,1,53,EI15_BnaDFFS003,Earlham Institute,Apex-93_5 X Ginyou_3  ,436.37,58.63,1366.5
p_032,2,3,2,54,EI15_BnaDFFS003,Earlham Institute,Apex-93_5 X Ginyou_3  ,1175.69,26.39,1450.04
p_042,2,1,3,55,EI15_BnaDFFS004,Earlham Institute,Bienvenu 4,1072.56,34.11,1462.64
p_043,1,2,4,56,EI15_BnaDFFS004,Earlham Institute,Bienvenu 4,405.25,59.82,1358.41
p_056,1,3,5,27,EI15_BnaDFFS004,Earlham Institute,Bienvenu 4,405.25,59.82,1358.41
p_065,2,1,6,28,EI15_BnaDFFS005,Earlham Institute,Bryan X Fortress  ,896.17,46.42,1681.61
p_005,2,2,7,29,EI15_BnaDFFS005,Earlham Institute,Bryan X Fortress  ,374.12,61.01,1350.32
p_010,1,3,1,30,EI15_BnaDFFS005,Earlham Institute,Bryan X Fortress  ,896.17,46.42,1681.61
p_019,1,1,2,31,EI15_BnaDFFS006,Earlham Institute,Canberra X Courage  ,982.43,47.95,1524.8
p_022,1,2,3,32,EI15_BnaDFFS006,Earlham Institute,Canberra X Courage  ,343,62.2,1342.23
p_030,1,3,4,33,EI15_BnaDFFS006,Earlham Institute,Canberra X Courage  ,1058.63,24.46,1626.83
p_033,2,1,5,34,EI15_BnaDFFS007,Earlham Institute,Capricorn 1,959.2,60.17,1433.49
p_041,2,2,6,35,EI15_BnaDFFS007,Earlham Institute,Capricorn 1,311.87,63.39,1334.14
p_044,1,3,7,36,EI15_BnaDFFS007,Earlham Institute,Capricorn 1,218.5,66.95,1309.87
p_052,2,1,1,37,EI15_BnaDFFS008,Earlham Institute,Columbus X Nickel  ,1137.98,15.23,1697.8
p_061,2,2,2,64,EI15_BnaDFFS008,Earlham Institute,Columbus X Nickel  ,280.75,64.57,1326.05
p_064,1,3,3,1,EI15_BnaDFFS008,Earlham Institute,Columbus X Nickel  ,572.4,57.33,1414.92
p_015,1,1,4,2,EI15_BnaDFFS009,Earlham Institute,Darmor,1058.63,24.46,1626.83
p_026,2,2,5,3,EI15_BnaDFFS009,Earlham Institute,Darmor,249.62,65.76,1317.96
p_057,1,3,6,4,EI15_BnaDFFS009,Earlham Institute,Darmor,94,71.7,1277.52
p_001,1,1,7,5,EI15_BnaDFFS010,Earlham Institute,Hansen X Gaspard  ,854.68,23.74,1455.67
p_006,1,2,1,6,EI15_BnaDFFS010,Earlham Institute,Hansen X Gaspard  ,218.5,66.95,1309.87
p_011,1,3,2,7,EI15_BnaDFFS010,Earlham Institute,Hansen X Gaspard  ,374.12,61.01,1350.32
p_016,2,1,3,8,EI15_BnaDFFS011,Earlham Institute,Inca X  Contact   ,825.03,36.06,1827.09
p_020,2,2,4,9,EI15_BnaDFFS011,Earlham Institute,Inca X  Contact   ,187.37,68.14,1301.79
p_029,1,3,5,65,EI15_BnaDFFS011,Earlham Institute,Inca X  Contact   ,280.75,77.65,1237.07
p_053,1,1,6,10,EI15_BnaDFFS012,Earlham Institute,Madrigal X Recital  ,928.88,35.96,1457.55
p_058,1,2,7,11,EI15_BnaDFFS012,Earlham Institute,Madrigal X Recital  ,156.25,69.33,1293.7
p_062,1,3,1,12,EI15_BnaDFFS012,Earlham Institute,Madrigal X Recital  ,1058.63,24.46,1626.83
p_004,2,1,2,13,EI15_BnaDFFS013,Earlham Institute,Major ,831.29,37.71,1174.79
p_012,2,2,3,14,EI15_BnaDFFS013,Earlham Institute,Major ,125.12,70.52,1285.61
